Country or Territory,ISO 3 code,"Cancer deaths attributable to alcohol
Proportion (%) of cancer deaths caused by alcohol drinking in men ages 15 years or older, 2016","Smoking prevalence male
Prevalence (%) of daily smoking for men","Smoking prevalence female
Prevalence (%) of daily smoking for women","Cancers attributable to infections
Proportion of cancers attributable to infections (%), by country","Obesity prevalence male
International variation in the prevalence of obesity, 2016","Obesity prevalence female
International variation in the prevalence of obesity, 2016","Melanoma skin cancer incidence
Age-standardized rate (world) per 100,000, both sexes, 2018","Breastfeeding at 12 months
Percent (%) of children who receive any breast milk at 12 months of age","Average births per woman 2010-2015","Outdoor air pollution
Average annual population-weighted concentrations of PM2.5 (particulate matter of 2.5 μm diameter or less), measured in μg/m3, 2017","Indoor air pollution
Proportion (%) of population using solid fuels in 2017","Cancer rank as leading cause of death among 30-69
2016","Lung cancer incidence rates, male
Age-standardized rate (world) per 100,000, all ages, 2018","Lung cancer incidence rates, female
Age-standardized rate (world) per 100,000, all ages, 2018","Breast most frequently diagnosed cancer in women
Countries where breast cancer is the most frequently diagnosed cancer in women, 2018","Human Development Index (HDI) levels
2017","Cancer rank as leading cause of death among <70
2016","Indigenous peoples
As percent of total population","Most common cancer cases worldwide, females
2018","Most common cancer deaths worldwide, females
2018","Most common cancer cases worldwide, males
2018","Most common cancer deaths worldwide, males
2018","High-quality survival data
Availability of high-quality cancer data for survival statistics, 2008–2014","Cancer survivors
Estimated number of cancer survivors diagnosed within the past five years per 100,000 population, both sexes, 2018","Years lived with disability due to cancer
Both sexes, all ages, 2017","Cervical cancer screening, visual inspection with acetic acid
As of June 2017","Parties to the Framework Convention on Tobacco Control
As of mid-2019","Tobacco packaging restrictions
Use of graphic warning labels and plain packaging","Hepatitis B virus vaccination
Hepatitis B vaccination coverage (% of one-year-olds who have received three doses of hepatitis B vaccine), 2017","Human papillomavirus vaccination
Countries that have introduced the HPV vaccine by June 2019 (including partial introduction)","Cervical cancer screening, HPV DNA testing
2017","Radiotherapy availability
Number of radiotherapy machines per 1,000 cancer patients","Untreated deaths in pain
2016","Population-based cancer registries
Availability of population-based cancer registry (PBCR) data, 2019","Mortality registration quality
Quality of mortality registration worldwide, 2007–2016","Cost of smoking-attributable diseases (US$ billions)
Economic cost of smoking-attributable diseases annually (healthcare spending and productivity losses)*","Cervical cancer incidence rates
Age-standardized rate (world) per 100,000, 2018","HIV prevalence (%)
Both sexes, 2017","UICC organizations
A global network of cancer organizations","Global Relay For Life
2017",State,Total.Rate,Total.Number,Total.Population,Rates.Age.< 18,Rates.Age.18-45,Rates.Age.45-64,Rates.Age.> 64,Rates.Age and Sex.Female.< 18,Rates.Age and Sex.Male.< 18,Rates.Age and Sex.Female.18 - 45,Rates.Age and Sex.Male.18 - 45,Rates.Age and Sex.Female.45 - 64,Rates.Age and Sex.Male.45 - 64,Rates.Age and Sex.Female.> 64,Rates.Age and Sex.Male.> 64,Rates.Race.White,Rates.Race.White non-Hispanic,Rates.Race.Black,Rates.Race.Asian,Rates.Race.Indigenous,Rates.Race and Sex.Female.White,Rates.Race and Sex.Female.White non-Hispanic,Rates.Race and Sex.Female.Black,Rates.Race and Sex.Female.Black non-Hispanic,Rates.Race and Sex.Female.Asian,Rates.Race and Sex.Female.Indigenous,Rates.Race and Sex.Male.White,Rates.Race and Sex.Male.White non-Hispanic,Rates.Race and Sex.Male.Black,Rates.Race and Sex.Male.Black non-Hispanic,Rates.Race and Sex.Male.Asian,Rates.Race and Sex.Male.Indigenous,Rates.Race.Hispanic,Rates.Race and Sex.Female.Hispanic,Rates.Race and Sex.Male.Hispanic,Types.Breast.Total,Types.Breast.Age.18 - 44,Types.Breast.Age.45 - 64,Types.Breast.Age.> 64,Types.Breast.Race.White,Types.Breast.Race.White non-Hispanic ,Types.Breast.Race.Black,Types.Breast.Race.Black non-Hispanic,Types.Breast.Race.Asian,Types.Breast.Race.Indigenous,Types.Breast.Race.Hispanic,Types.Colorectal.Total,Types.Colorectal.Age and Sex.Female.18 - 44,Types.Colorectal.Age and Sex.Male.18 - 44,Types.Colorectal.Age and Sex.Female.45 - 64,Types.Colorectal.Age and Sex.Male.45 - 64,Types.Colorectal.Age and Sex.Female.> 64,Types.Colorectal.Age and Sex.Male.> 64,Types.Colorectal.Race.White,Types.Colorectal.Race.White non-Hispanic,Types.Colorectal.Race.Black,Types.Colorectal.Race.Black non-Hispanic,Types.Colorectal.Race.Asian,Types.Colorectal.Race.Indigenous,Types.Colorectal.Race.Hispanic,Types.Lung.Total,Types.Lung.Age and Sex.Female.18 - 44,Types.Lung.Age and Sex.Male.18 - 44,Types.Lung.Age and Sex.Female.45 - 64,Types.Lung.Age and Sex.Male.45 - 64,Types.Lung.Age and Sex.Female.> 64,Types.Lung.Age and Sex.Male.> 64,Types.Lung.Race.White,Types.Lung.Race.White non-Hispanic,Types.Lung.Race.Black,Types.Lung.Race.Black non-Hispanic,Types.Lung.Race.Asian,Types.Lung.Race.Indigenous,Types.Lung.Race.Hispanic,Country or Territory2,ISO 3 code3,"Cancer deaths attributable to alcohol
Proportion (%) of cancer deaths caused by alcohol drinking in men ages 15 years or older, 20164","Smoking prevalence male
Prevalence (%) of daily smoking for men5","Smoking prevalence female
Prevalence (%) of daily smoking for women6","Cancers attributable to infections
Proportion of cancers attributable to infections (%), by country7","Obesity prevalence male
International variation in the prevalence of obesity, 20168","Obesity prevalence female
International variation in the prevalence of obesity, 20169","Melanoma skin cancer incidence
Age-standardized rate (world) per 100,000, both sexes, 201810","Breastfeeding at 12 months
Percent (%) of children who receive any breast milk at 12 months of age11","Average births per woman
2010-201512","Outdoor air pollution
Average annual population-weighted concentrations of PM2.5 (particulate matter of 2.5 μm diameter or less), measured in μg/m3, 201713","Indoor air pollution
Proportion (%) of population using solid fuels in 201714","Cancer rank as leading cause of death among 30-69
201615","Lung cancer incidence rates, male
Age-standardized rate (world) per 100,000, all ages, 201816","Lung cancer incidence rates, female
Age-standardized rate (world) per 100,000, all ages, 201817","Breast most frequently diagnosed cancer in women
Countries where breast cancer is the most frequently diagnosed cancer in women, 201818","Human Development Index (HDI) levels
201719","Cancer rank as leading cause of death among <70
201620","Indigenous peoples
As percent of total population21","Most common cancer cases worldwide, females
201822","Most common cancer deaths worldwide, females
201823","Most common cancer cases worldwide, males
201824","Most common cancer deaths worldwide, males
201825","High-quality survival data
Availability of high-quality cancer data for survival statistics, 2008–201426","Cancer survivors
Estimated number of cancer survivors diagnosed within the past five years per 100,000 population, both sexes, 201827","Years lived with disability due to cancer
Both sexes, all ages, 201728","Cervical cancer screening, visual inspection with acetic acid
As of June 201729","Parties to the Framework Convention on Tobacco Control
As of mid-201930","Tobacco packaging restrictions
Use of graphic warning labels and plain packaging31","Hepatitis B virus vaccination
Hepatitis B vaccination coverage (% of one-year-olds who have received three doses of hepatitis B vaccine), 201732","Human papillomavirus vaccination
Countries that have introduced the HPV vaccine by June 2019 (including partial introduction)33","Cervical cancer screening, HPV DNA testing
201734","Radiotherapy availability
Number of radiotherapy machines per 1,000 cancer patients35","Untreated deaths in pain
201636","Population-based cancer registries
Availability of population-based cancer registry (PBCR) data, 201937","Mortality registration quality
Quality of mortality registration worldwide, 2007–201638","Cost of smoking-attributable diseases (US$ billions)
Economic cost of smoking-attributable diseases annually (healthcare spending and productivity losses)*39","Cervical cancer incidence rates
Age-standardized rate (world) per 100,000, 201840","HIV prevalence (%)
Both sexes, 201741","UICC organizations
A global network of cancer organizations42","Global Relay For Life
201743"
Afghanistan,AFG,0.5,21.4,7,16,3.2,7.6,0.3,88,5.3,57,71,2nd,9.4,3.2,Breast,Low,5th-10th,No data,Breast,Breast,"Lip, oral cavity",Stomach,No data,151,8089.8,No program,FCTC party,Graphic warning labels,65,Not introduced,None,0,5785.1,PBCR,No coverage,Data not featured,6.6,No data,2,Non-participant,Arizona,165.6,74286,44845598,2.5,13.6,173.6,840.2,2.6,2.5,15.2,12.2,156.5,191.8,706.1,1000.2,153.5,156.4,166.8,93,116.2,130.8,134,146.5,154.3,80.6,100.5,182.2,184.7,195.3,205,112.5,139.5,128.5,106.5,158.4,23.3,3.8,33.2,90.5,20.4,20.9,26.3,28,10.7,11.4,16.2,14.9,1.3,1.4,12.6,19.2,67.6,85.2,13.8,13.9,18.7,19.7,10.6,10.1,13.1,42.3,1.1,0.8,33.2,47,191.9,275.8,39.5,42.2,38.2,40.4,21.3,11.1,21.6,Afghanistan,AFG,0.5,21.4,7,16,3.2,7.6,0.3,88,5.3,57,71,2nd,9.4,3.2,Breast,Low,5th-10th,No data,Breast,Breast,"Lip, oral cavity",Stomach,No data,151,8089.8,No program,FCTC party,Graphic warning labels,65,Not introduced,None,0,5785.1,PBCR,No coverage,Data not featured,6.6,No data,2,Non-participant
Albania,ALB,4.9,40.9,6.1,13.4,21.6,21.8,1.7,72.3,1.7,18,35,2nd,37.8,7.1,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,401.1,2644.3,No program,FCTC party,No graphic warning labels,99,Not introduced,None,0.6,0,Registration activity,Low,Data not featured,6.5,0.05,0,Non-participant,Colorado,139,49035,35267734,1.9,11.7,149.6,849.4,1.9,1.9,12.8,10.7,141.5,157.8,743.9,981,148,148.6,175.5,95.2,88,130.1,130.9,147.5,153,81.8,79.1,173.5,173.9,215.3,222.1,117.2,98.9,134.9,115.9,160.3,20.7,3.1,29.3,94.6,19.5,19.8,24.9,26,9.1,12.1,15.3,12.7,1,1.1,11.6,15.7,73.5,83.3,13.4,13.1,17.2,17.9,10.7,7.6,14.8,31.8,0.7,0.7,27.8,34,183,242.6,34.1,35,40.4,41.5,22.8,22.3,25.6,Albania,ALB,4.9,40.9,6.1,13.4,21.6,21.8,1.7,72.3,1.7,18,35,2nd,37.8,7.1,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,401.1,2644.3,No program,FCTC party,No graphic warning labels,99,Not introduced,None,0.6,0,Registration activity,Low,Data not featured,6.5,0.05,0,Non-participant
Algeria,DZA,1.1,17.5,2.2,12.9,19.9,34.9,0.7,55.1,3,39,0.32,2nd,17.4,2.9,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,Regional high quality data,312.6,16404.9,No program,FCTC party,No graphic warning labels,91,Not introduced,None,0.75,19079.1,High quality PBCR,No coverage,7,8.1,0.05,13,Non-participant,Arkansas,223.9,45627,20382448,2.3,17.6,250.1,1048.3,2.6,2,19.5,15.8,211.9,290.1,837.8,1320.5,192.2,194.2,228.2,115.9,59.2,156.4,157.8,180,180,91.7,44.8,240.5,243.3,304.6,305,157.7,74.8,81.2,74.6,90.1,27.9,5,38.4,100.6,21.7,22,31.1,31,0,0,10.9,21.2,1.9,2.2,19.7,28.6,85.8,114.4,17.7,17.9,26.3,26.4,0,0,8.1,73.3,1.9,1.8,61.4,106.5,248.7,484.7,63.4,64.2,62.9,63,18.1,16.2,14.6,Algeria,DZA,1.1,17.5,2.2,12.9,19.9,34.9,0.7,55.1,3,39,0.32,2nd,17.4,2.9,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,Regional high quality data,312.6,16404.9,No program,FCTC party,No graphic warning labels,91,Not introduced,None,0.75,19079.1,High quality PBCR,No coverage,7,8.1,0.05,13,Non-participant
Andorra,AND,No data,30.1,19.8,No data,25.9,25.3,No data,No data,No data,10,0.63,No data,No data,No data,No data,Very high,No data,No data,No data,No data,No data,No data,No data,No data,219,No program,Not FCTC party,Graphic warning labels,98,Introduced,None,No data,0,No information,Medium,Data not featured,No data,No data,0,Non-participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andorra,AND,No data,30.1,19.8,No data,25.9,25.3,No data,No data,No data,10,0.63,No data,No data,No data,No data,Very high,No data,No data,No data,No data,No data,No data,No data,No data,219,No program,Not FCTC party,Graphic warning labels,98,Introduced,None,No data,0,No information,Medium,Data not featured,No data,No data,0,Non-participant
Angola,AGO,8.1,14.2,1.6,31.2,4,12.1,1.7,92.6,6,32,56,3rd-4th,4.2,2.6,Other,Medium,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,190.2,6656.6,Pilot,FCTC party,No graphic warning labels,52,Not introduced,None,0.19,14955.2,Registration activity,No coverage,Data not featured,36.1,1.9,0,Non-participant,Delaware,210.2,13233,6295263,2.2,16,217.5,993.3,0,0,17.8,14.2,195.1,242.1,851.7,1174.9,181.8,183.2,194.4,87.4,114,157.1,158.3,165.4,166.8,87.6,0,216.7,218.5,237.7,239.8,85.7,0,82.2,73.1,92.9,28,4.9,37.3,100.7,22.5,22.8,25.5,25.8,0,0,0,17.6,0,1.8,13,23.1,77.1,93.8,15.4,15.4,16.9,17,0,0,0,62.7,0,2.1,55.6,74.9,253.7,369.1,55,55.7,49.3,49.8,23.7,0,15.5,Angola,AGO,8.1,14.2,1.6,31.2,4,12.1,1.7,92.6,6,32,56,3rd-4th,4.2,2.6,Other,Medium,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,190.2,6656.6,Pilot,FCTC party,No graphic warning labels,52,Not introduced,None,0.19,14955.2,Registration activity,No coverage,Data not featured,36.1,1.9,0,Non-participant
Antigua and Barbuda,ATG,3.7,4.4,2.2,No data,11.6,25.9,No data,No data,2.1,19,1.8,No data,No data,No data,No data,High,2nd,No data,No data,No data,No data,No data,No data,No data,106.8,No program,FCTC party,No graphic warning labels,95,Introduced,None,No data,0,No information,Medium,Data not featured,No data,No data,0,Non-participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antigua and Barbuda,ATG,3.7,4.4,2.2,No data,11.6,25.9,No data,No data,2.1,19,1.8,No data,No data,No data,No data,High,2nd,No data,No data,No data,No data,No data,No data,No data,106.8,No program,FCTC party,No graphic warning labels,95,Introduced,None,No data,0,No information,Medium,Data not featured,No data,No data,0,Non-participant
Argentina,ARG,6.5,21,12.6,9.6,27.3,29,2.9,62,2.3,13,2.3,1st,26.3,13.3,Breast,Very high,1st,2.4,Breast,Breast,Prostate,Lung,Regional high quality data,587.1,47492.7,No program,Not FCTC party,Graphic warning labels,86,Introduced,National,0.91,0,High quality PBCR,Medium,Data not featured,16.7,0.4,6,Global Relay For Life Participant,District of Columbia,182.1,7730,4245359,0,12.4,251.8,1028.6,0,0,13.9,10.8,233.2,272,892.5,1231.2,127.8,129.1,229.3,92.7,0,115.5,116.7,195.6,196.4,79.8,0,145.1,146.2,287.5,288.6,112.3,0,96.6,89.6,106.4,31.3,3.4,56.6,129.6,23.2,25.2,34.6,34.6,0,0,0,17.5,0,0,21.9,25.3,98.9,102.1,10,9.8,23,23.1,0,0,9.1,41.6,0,0,51.3,71.3,193,303.2,27.3,27.6,53.6,54.2,0,0,18.8,Argentina,ARG,6.5,21,12.6,9.6,27.3,29,2.9,62,2.3,13,2.3,1st,26.3,13.3,Breast,Very high,1st,2.4,Breast,Breast,Prostate,Lung,Regional high quality data,587.1,47492.7,No program,Not FCTC party,Graphic warning labels,86,Introduced,National,0.91,0,High quality PBCR,Medium,Data not featured,16.7,0.4,6,Global Relay For Life Participant
Armenia,ARM,5,43.5,1.5,12.2,17.1,23,1.6,52.3,1.7,33,16,1st,58.5,8.5,Breast,High,1st,No data,Breast,Breast,Lung,Lung,No data,402.2,3418,No program,FCTC party,Graphic warning labels,94,Introduced,None,0.34,846.9,Registration activity,High,Data not featured,8.4,0.2,2,Non-participant,Connecticut,190.5,47567,24975889,1.6,13.6,163.6,971.2,1.6,1.7,15.1,12.1,152.5,175.5,843.4,1147,160.1,161.8,166.7,93.7,75.8,140,141.9,139.2,146.2,79.1,59.8,190.2,191.7,211.8,223.6,112.1,95.4,110.9,92.4,138,26.7,4.2,30.8,102.2,20.2,20.6,23.8,25.4,9.1,0,11.1,15.6,1.2,1.5,10.5,15.6,76.9,85.3,12.8,12.9,15.5,16.4,6.6,0,10.2,49,1.5,1.3,37.3,47.2,222.2,301.1,42.2,43.2,38.4,40.4,20.8,0,20.3,Armenia,ARM,5,43.5,1.5,12.2,17.1,23,1.6,52.3,1.7,33,16,1st,58.5,8.5,Breast,High,1st,No data,Breast,Breast,Lung,Lung,No data,402.2,3418,No program,FCTC party,Graphic warning labels,94,Introduced,None,0.34,846.9,Registration activity,High,Data not featured,8.4,0.2,2,Non-participant
Australia,AUS,7.1,15.6,13.3,3.7,29.6,28.4,33.6,30,1.9,8.6,0.3,1st,29.2,23.6,Breast,Very high,1st,3,Breast,Lung,Prostate,Lung,National high quality data,1849.8,77268.2,No program,FCTC party,Graphic warning labels + plain packaging,95,Introduced,None,1.12,0,High quality PBCR,High,Data not featured,6,0.1,192,Global Relay For Life Participant,Florida,219.2,289905,132277071,2.1,15.9,206.9,901.2,2,2.2,17.5,14.4,180.9,234.9,746.6,1093.7,164.2,172.8,173.3,84.6,61.1,138.1,146.5,141.2,146.5,78,44.7,197.3,205.4,223.5,231.9,94.9,80.9,119.1,96.4,152.5,28.7,4.7,35.9,91.5,20.1,21.2,27.3,28.4,9.6,0,15,19.6,1.4,1.8,15.1,22.7,71,91.6,14.3,14.5,18.5,19.2,9.2,5.6,13.4,63,1.6,1.5,47.5,72,215.8,329,48,52.5,38.1,39.5,19.8,21,24,Australia,AUS,7.1,15.6,13.3,3.7,29.6,28.4,33.6,30,1.9,8.6,0.3,1st,29.2,23.6,Breast,Very high,1st,3,Breast,Lung,Prostate,Lung,National high quality data,1849.8,77268.2,No program,FCTC party,Graphic warning labels + plain packaging,95,Introduced,None,1.12,0,High quality PBCR,High,Data not featured,6,0.1,192,Global Relay For Life Participant
Austria,AUT,8.2,18.9,15.8,5.6,21.9,18.3,13.6,16,1.4,12,0.87,1st,33.2,23.3,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,737.9,22705.8,No program,FCTC party,Graphic warning labels,90,Introduced,None,1.03,0,High quality PBCR,High,Data not featured,5.5,0.1,1,Non-participant,Georgia,159.4,108222,67890652,2.2,15.7,205.6,932.2,2,2.3,17.5,13.9,181.9,231.1,763.7,1160.1,170.5,173.9,192.2,89.4,29.7,142.3,145.1,153.8,155.1,78.1,31,210.9,215.2,263,265.2,103.7,29,62.6,52.2,77.7,23.7,4.9,38.3,99.1,20.8,21.2,29,29.3,9.6,0,8.6,14.6,1.5,1.9,16.3,24.2,71.4,96,14.5,14.8,21.1,21.3,9.7,0,6,46.3,1.3,1.7,45.7,74,210.9,383.3,52.4,53.7,45.1,45.4,19.1,0,10.6,Austria,AUT,8.2,18.9,15.8,5.6,21.9,18.3,13.6,16,1.4,12,0.87,1st,33.2,23.3,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,737.9,22705.8,No program,FCTC party,Graphic warning labels,90,Introduced,None,1.03,0,High quality PBCR,High,Data not featured,5.5,0.1,1,Non-participant
